 TIME                                   ,Massenstrom                             ,
  +2.8600000000000000E+02,  +2.7553217347046160E+02,
  +2.8700000000000000E+02,  +2.3248027201148054E+02,
  +2.8800000000000000E+02,  +2.7553217347046160E+02,
  +2.8900000000000000E+02,  +2.8414254549629277E+02,
  +2.9000000000000000E+02,  +3.0136331021286770E+02,
  +2.9100000000000000E+02,  +2.9275293810093279E+02,
  +2.9200000000000000E+02,  +3.2719444695527380E+02,
  +2.9300000000000000E+02,  +4.9079166018655826E+02,
  +2.9400000000000000E+02,  +6.1994736456350154E+02,
  +2.9500000000000000E+02,  +5.8550587628796927E+02,
  +2.9600000000000000E+02,  +5.1662281750777333E+02,
  +2.9700000000000000E+02,  +4.8218128816072709E+02,
  +2.9800000000000000E+02,  +4.5635017191102605E+02,
  +2.9900000000000000E+02,  +4.6496054393685722E+02,
  +3.0000000000000000E+02,  +4.3051901458981104E+02,
  +3.0100000000000000E+02,  +4.7357091604879213E+02,
  +3.0200000000000000E+02,  +4.3051901458981104E+02,
  +3.0300000000000000E+02,  +4.1329827045204490E+02,
  +3.0400000000000000E+02,  +4.9940207337000709E+02,
  +3.0500000000000000E+02,  +4.7357091604879213E+02,
  +3.0600000000000000E+02,  +4.6496054393685722E+02,
  +3.0700000000000000E+02,  +5.5106434685481941E+02,
  +3.0800000000000000E+02,  +5.7689546310452045E+02,
  +3.0900000000000000E+02,  +5.9411624831380050E+02,
  +3.1000000000000000E+02,  +3.3580483955991394E+02,
  +3.1100000000000000E+02,  +2.6692178086582157E+02,
  +3.1200000000000000E+02,  +2.9275293810093279E+02,
  +3.1300000000000000E+02,  +2.9275293810093279E+02,
  +3.1400000000000000E+02,  +2.8414254549629277E+02,
  +3.1500000000000000E+02,  +3.0997368232480261E+02,
  +3.1600000000000000E+02,  +3.6163595580961493E+02,
  +3.1700000000000000E+02,  +5.1662281750777333E+02,
  +3.1800000000000000E+02,  +7.4910306894044481E+02,
  +3.1900000000000000E+02,  +6.6299926602248263E+02,
  +3.2000000000000000E+02,  +5.5106434685481941E+02,
  +3.2100000000000000E+02,  +6.0272662042573540E+02,
  +3.2200000000000000E+02,  +5.7689546310452045E+02,
  +3.2300000000000000E+02,  +5.1662281750777333E+02,
  +3.2400000000000000E+02,  +5.3384356164553935E+02,
  +3.2500000000000000E+02,  +4.9940207337000709E+02,
  +3.2600000000000000E+02,  +4.4773975872757717E+02,
  +3.2700000000000000E+02,  +5.0801244539583826E+02,
  +3.2800000000000000E+02,  +5.5106434685481941E+02,
  +3.2900000000000000E+02,  +5.9411624831380050E+02,
  +3.3000000000000000E+02,  +5.9411624831380050E+02,
  +3.3100000000000000E+02,  +6.3716814977278159E+02,
  +3.3200000000000000E+02,  +7.4910306894044481E+02,
  +3.3300000000000000E+02,  +6.9744083644104273E+02,
  +3.3400000000000000E+02,  +4.3051901458981104E+02,
  +3.3500000000000000E+02,  +3.8746711313082989E+02,
  +3.3600000000000000E+02,  +3.7885674101889498E+02,
  +3.3700000000000000E+02,  +3.7885674101889498E+02,
  +3.3800000000000000E+02,  +3.6163595580961493E+02,
  +3.3900000000000000E+02,  +3.7885674101889498E+02,
  +3.4000000000000000E+02,  +5.0801244539583826E+02,
  +3.4100000000000000E+02,  +7.0605116748146372E+02,
  +3.4200000000000000E+02,  +9.0408993063860316E+02,
  +3.4300000000000000E+02,  +8.7825877340349189E+02,
  +3.4400000000000000E+02,  +7.4049273790002383E+02,
  +3.4500000000000000E+02,  +7.4049273790002383E+02,
  +3.4600000000000000E+02,  +6.9744083644104273E+02,
  +3.4700000000000000E+02,  +7.2327191170533376E+02,
  +3.4800000000000000E+02,  +5.7689546310452045E+02,
  +3.4900000000000000E+02,  +6.3716814977278159E+02,
  +3.5000000000000000E+02,  +5.5967471896675431E+02,
  +3.5100000000000000E+02,  +6.1994736456350154E+02,
  +3.5200000000000000E+02,  +6.7160967920593157E+02,
  +3.5300000000000000E+02,  +7.0605116748146372E+02,
  +3.5400000000000000E+02,  +7.3188232480267868E+02,
  +3.5500000000000000E+02,  +8.4381728504185605E+02,
  +3.5600000000000000E+02,  +8.0937571462329583E+02,
  +3.5700000000000000E+02,  +8.7825877340349189E+02,
  +3.5800000000000000E+02,  +5.0801244539583826E+02,
  +3.5900000000000000E+02,  +4.5635017191102605E+02,
  +3.6000000000000000E+02,  +4.8218128816072709E+02,
  +3.6100000000000000E+02,  +4.4773975872757717E+02,
  +3.6200000000000000E+02,  +4.7357091604879213E+02,
  +3.6300000000000000E+02,  +4.3912938670174594E+02,
  +3.6400000000000000E+02,  +4.9079166018655826E+02,
  +3.6500000000000000E+02,  +7.1466158066491266E+02,
  +3.6600000000000000E+02,  +9.9880414656780670E+02,
  +3.6700000000000000E+02,  +9.5575224510882560E+02,
  +3.6800000000000000E+02,  +7.5771348212389375E+02,
  +3.6900000000000000E+02,  +6.8022005123176280E+02,
  +3.7000000000000000E+02,  +6.8022005123176280E+02,
  +3.7100000000000000E+02,  +6.1994736456350154E+02,
  +3.7200000000000000E+02,  +5.8550587628796927E+02,
  +3.7300000000000000E+02,  +5.5106434685481941E+02,
  +3.7400000000000000E+02,  +5.5106434685481941E+02,
  +3.7500000000000000E+02,  +6.0272662042573540E+02,
  +3.7600000000000000E+02,  +6.4577852188471650E+02,
  +3.7700000000000000E+02,  +6.9744083644104273E+02,
  +3.7800000000000000E+02,  +7.6632381316431474E+02,
  +3.7900000000000000E+02,  +8.0937571462329583E+02,
  +3.8000000000000000E+02,  +8.5242761608227704E+02,
  +3.8100000000000000E+02,  +7.9215497039942591E+02,
  +3.8200000000000000E+02,  +4.9940207337000709E+02,
  +3.8300000000000000E+02,  +4.0468785726859602E+02,
  +3.8400000000000000E+02,  +4.0468785726859602E+02,
  +3.8500000000000000E+02,  +3.5302558378378376E+02,
  +3.8600000000000000E+02,  +4.4773975872757717E+02,
  +3.8700000000000000E+02,  +4.3912938670174594E+02,
  +3.8800000000000000E+02,  +5.3384356164553935E+02,
  +3.8900000000000000E+02,  +7.2327191170533376E+02,
  +3.9000000000000000E+02,  +9.6436257632145418E+02,
  +3.9100000000000000E+02,  +9.9019373355656546E+02,
  +3.9200000000000000E+02,  +8.2659654081798601E+02,
  +3.9300000000000000E+02,  +7.2327191170533376E+02,
  +3.9400000000000000E+02,  +6.5438889399665152E+02,
  +3.9500000000000000E+02,  +6.1994736456350154E+02,
  +3.9600000000000000E+02,  +5.5967471896675431E+02,
  +3.9700000000000000E+02,  +5.5967471896675431E+02,
  +3.9800000000000000E+02,  +5.3384356164553935E+02,
  +3.9900000000000000E+02,  +5.4245397482898818E+02,
  +4.0000000000000000E+02,  +6.5438889399665152E+02,
  +4.0100000000000000E+02,  +6.7160967920593157E+02,
  +4.0200000000000000E+02,  +7.3188232480267868E+02,
  +4.0300000000000000E+02,  +8.2659654081798601E+02,
  +4.0400000000000000E+02,  +8.3520687185840700E+02,
  +4.0500000000000000E+02,  +7.0605116748146372E+02,
  +4.0600000000000000E+02,  +4.4773975872757717E+02,
  +4.0700000000000000E+02,  +4.3912938670174594E+02,
  +4.0800000000000000E+02,  +4.0468785726859602E+02,
  +4.0900000000000000E+02,  +3.9607748524276485E+02,
  +4.1000000000000000E+02,  +3.9607748524276485E+02,
  +4.1100000000000000E+02,  +4.2190864247787613E+02,
  +4.1200000000000000E+02,  +4.4773975872757717E+02,
  +4.1300000000000000E+02,  +6.2855777774695048E+02,
  +4.1400000000000000E+02,  +8.6964844219086342E+02,
  +4.1500000000000000E+02,  +8.0937571462329583E+02,
  +4.1600000000000000E+02,  +7.2327191170533376E+02,
  +4.1700000000000000E+02,  +6.2855777774695048E+02,
  +4.1800000000000000E+02,  +5.5106434685481941E+02,
  +4.1900000000000000E+02,  +5.7689546310452045E+02,
  +4.2000000000000000E+02,  +5.1662281750777333E+02,
  +4.2100000000000000E+02,  +4.9940207337000709E+02,
  +4.2200000000000000E+02,  +5.0801244539583826E+02,
  +4.2300000000000000E+02,  +4.9940207337000709E+02,
  +4.2400000000000000E+02,  +5.8550587628796927E+02,
  +4.2500000000000000E+02,  +5.7689546310452045E+02,
  +4.2600000000000000E+02,  +6.5438889399665152E+02,
  +4.2700000000000000E+02,  +6.4577852188471650E+02,
  +4.2800000000000000E+02,  +6.7160967920593157E+02,
  +4.2900000000000000E+02,  +6.6299926602248263E+02,
  +4.3000000000000000E+02,  +3.5302558378378376E+02,
  +4.3100000000000000E+02,  +3.2719444695527380E+02,
  +4.3200000000000000E+02,  +2.7553217347046160E+02,
  +4.3300000000000000E+02,  +2.6692178086582157E+02,
  +4.3400000000000000E+02,  +2.4970103664195167E+02,
  +4.3500000000000000E+02,  +3.0136331021286770E+02,
  +4.3600000000000000E+02,  +2.7553217347046160E+02,
  +4.3700000000000000E+02,  +3.7885674101889498E+02,
  +4.3800000000000000E+02,  +5.5106434685481941E+02,
  +4.3900000000000000E+02,  +4.8218128816072709E+02,
  +4.4000000000000000E+02,  +4.3051901458981104E+02,
  +4.4100000000000000E+02,  +3.9607748524276485E+02,
  +4.4200000000000000E+02,  +3.7885674101889498E+02,
  +4.4300000000000000E+02,  +3.2719444695527380E+02,
  +4.4400000000000000E+02,  +2.9275293810093279E+02,
  +4.4500000000000000E+02,  +3.0136331021286770E+02,
  +4.4600000000000000E+02,  +3.3580483955991394E+02,
  +4.4700000000000000E+02,  +3.3580483955991394E+02,
  +4.4800000000000000E+02,  +3.9607748524276485E+02,
  +4.4900000000000000E+02,  +3.7885674101889498E+02,
  +4.5000000000000000E+02,  +4.4773975872757717E+02,
  +4.5100000000000000E+02,  +4.2190864247787613E+02,
  +4.5200000000000000E+02,  +4.4773975872757717E+02,
  +4.5300000000000000E+02,  +4.4773975872757717E+02,
  +4.5400000000000000E+02,  +2.5831140875388667E+02,
  +4.5500000000000000E+02,  +2.4109064403731162E+02,
  +4.5600000000000000E+02,  +2.5831140875388667E+02,
  +4.5700000000000000E+02,  +2.3248027201148054E+02,
  +4.5800000000000000E+02,  +3.0136331021286770E+02,
  +4.5900000000000000E+02,  +2.7553217347046160E+02,
  +4.6000000000000000E+02,  +2.9275293810093279E+02,
  +4.6100000000000000E+02,  +5.0801244539583826E+02,
  +4.6200000000000000E+02,  +6.1994736456350154E+02,
  +4.6300000000000000E+02,  +6.1994736456350154E+02,
  +4.6400000000000000E+02,  +5.5967471896675431E+02,
  +4.6500000000000000E+02,  +5.1662281750777333E+02,
  +4.6600000000000000E+02,  +5.5106434685481941E+02,
  +4.6700000000000000E+02,  +4.9940207337000709E+02,
  +4.6800000000000000E+02,  +5.0801244539583826E+02,
  +4.6900000000000000E+02,  +4.3912938670174594E+02,
  +4.7000000000000000E+02,  +4.4773975872757717E+02,
  +4.7100000000000000E+02,  +4.8218128816072709E+02,
  +4.7200000000000000E+02,  +5.0801244539583826E+02,
  +4.7300000000000000E+02,  +4.9079166018655826E+02,
  +4.7400000000000000E+02,  +5.3384356164553935E+02,
