 TIME                                   ,T_R                                     ,
  +4.5100000000000000E+02,  +5.3906894410636802E+01,
  +4.5200000000000000E+02,  +5.3840317419817204E+01,
  +4.5300000000000000E+02,  +5.3778730140520750E+01,
  +4.5400000000000000E+02,  +5.3158323219888572E+01,
  +4.5500000000000000E+02,  +5.3355179484485589E+01,
  +4.5600000000000000E+02,  +5.4012966732070950E+01,
  +4.5700000000000000E+02,  +5.4323482307140679E+01,
  +4.5800000000000000E+02,  +5.3877634326862491E+01,
  +4.5900000000000000E+02,  +5.3795984462685340E+01,
  +4.6000000000000000E+02,  +5.4138222865788507E+01,
  +4.6100000000000000E+02,  +5.3007428473826295E+01,
  +4.6200000000000000E+02,  +5.2254982188646096E+01,
  +4.6300000000000000E+02,  +5.0106455788365587E+01,
  +4.6400000000000000E+02,  +4.6560528485172490E+01,
  +4.6500000000000000E+02,  +4.8163541128799999E+01,
  +4.6600000000000000E+02,  +4.6955512111960864E+01,
  +4.6700000000000000E+02,  +4.8115514838334434E+01,
  +4.6800000000000000E+02,  +5.0591683757392865E+01,
  +4.6900000000000000E+02,  +5.1831893631590113E+01,
  +4.7000000000000000E+02,  +5.2606493024047495E+01,
  +4.7100000000000000E+02,  +5.2966591998881647E+01,
  +4.7200000000000000E+02,  +5.3100526004799825E+01,
  +4.7300000000000000E+02,  +5.3197982427680330E+01,
  +4.7400000000000000E+02,  +5.3186617352605587E+01,
  +4.7500000000000000E+02,  +5.2990876792392015E+01,
  +4.7600000000000000E+02,  +5.2665981547121952E+01,
  +4.7700000000000000E+02,  +5.2469452689396512E+01,
  +4.7800000000000000E+02,  +5.2945668152019358E+01,
